element=21
l=0 n=21
  1.7411980000000000e+02  3.7970999999999998e-02
  8.1551829999999995e+01  6.4343999999999998e-02
  3.8765870000000000e+01  5.9325000000000003e-02
  1.7229620000000001e+01 -5.5638000000000000e-02
  8.4303480000000004e+00 -3.0719400000000002e-01
  4.1058190000000003e+00 -3.9969399999999999e-01
  1.8066249999999999e+00  1.5766400000000000e-01
  8.7042299999999995e-01  6.9409900000000002e-01
  3.9684100000000000e-01  3.9803300000000003e-01
  9.5711000000000004e-02  2.3106999999999999e-02
  4.8246999999999998e-02 -8.9200000000000008e-03
  2.2661000000000001e-02  0.0000000000000000e+00
l=0 n=21
  4.7894580000000000e+06  0.0000000000000000e+00
  7.1713800000000000e+05 -9.9999999999999995e-07
  1.6319939999999999e+05 -5.0000000000000004e-06
  4.6226070000000000e+04 -1.9000000000000001e-05
  1.5081030000000001e+04 -6.9999999999999994e-05
  5.4444930000000004e+03 -2.2800000000000001e-04
  2.1234479999999999e+03 -6.8000000000000005e-04
  8.8059100000000001e+02 -1.8320000000000001e-03
  3.8377289999999999e+02 -4.4759999999999999e-03
  1.7411980000000000e+02 -9.4020000000000006e-03
  8.1551829999999995e+01 -1.5938999999999998e-02
  3.8765870000000000e+01 -1.4843000000000000e-02
  1.7229620000000001e+01  1.4090999999999999e-02
  8.4303480000000004e+00  8.0085000000000003e-02
  4.1058190000000003e+00  1.1109100000000000e-01
  1.8066249999999999e+00 -5.6113000000000003e-02
  8.7042299999999995e-01 -2.4140500000000001e-01
  3.9684100000000000e-01 -2.9670999999999997e-01
  9.5711000000000004e-02  3.3100900000000000e-01
  4.8246999999999998e-02  6.3076100000000002e-01
  2.2661000000000001e-02  0.0000000000000000e+00
l=0 n=21
  4.7894580000000000e+06 -1.0000000000000001e-05
  7.1713800000000000e+05  8.1000000000000004e-05
  1.6319939999999999e+05 -5.1999999999999997e-05
  4.6226070000000000e+04 -1.5000000000000000e-05
  1.5081030000000001e+04 -1.2799999999999999e-04
  5.4444930000000004e+03 -3.6900000000000002e-04
  2.1234479999999999e+03 -1.1709999999999999e-03
  8.8059100000000001e+02 -2.9350000000000001e-03
  3.8377289999999999e+02 -7.8779999999999996e-03
  1.7411980000000000e+02 -1.4541000000000000e-02
  8.1551829999999995e+01 -2.9704000000000001e-02
  3.8765870000000000e+01 -1.8058000000000001e-02
  1.7229620000000001e+01  5.8640000000000003e-03
  8.4303480000000004e+00  1.8014300000000000e-01
  4.1058190000000003e+00  1.1751700000000000e-01
  1.8066249999999999e+00  5.4481000000000002e-02
  8.7042299999999995e-01 -9.2045200000000005e-01
  3.9684100000000000e-01  1.3433500000000001e-01
  9.5711000000000004e-02  2.1416409999999999e+00
  4.8246999999999998e-02 -1.1651950000000000e+00
  2.2661000000000001e-02  0.0000000000000000e+00
l=0 n=21
  4.7894580000000000e+06  1.1000000000000000e-05
  7.1713800000000000e+05 -5.5999999999999999e-05
  1.6319939999999999e+05  1.3999999999999999e-04
  4.6226070000000000e+04 -6.3100000000000005e-04
  1.5081030000000001e+04  1.6770000000000001e-03
  5.4444930000000004e+03 -7.8969999999999995e-03
  2.1234479999999999e+03  9.5149999999999992e-03
  8.8059100000000001e+02  3.6099999999999999e-04
